,final,open,max,min,trade_amt,change,year,month,day,name
1417,-0.2267755174446352,0.03363302326113733,-0.08655985493729178,-0.3283387215012297,-0.14244600029011045,-1.186221591786896,2021,3,9,002475
1418,-0.35670675575574556,-0.09941411522247738,-0.10921434184440322,-0.289991252456426,-0.050708524165917354,-0.7796688923145633,2021,3,10,002475
1419,-0.5121385174737094,-0.3945368587679502,-0.4693014495258491,-0.6400665343815675,1.9463214302203966,-0.9543595053690813,2021,3,11,002475
1420,-0.6699989004685161,-0.4767841807396392,-0.5742274941482577,-0.6450145949034776,0.9808635780444058,-0.99565001390924,2021,3,12,002475
1421,-0.9917912196502378,-0.7150595105693851,-0.8091187531325124,-0.9258170295218762,1.511675595066461,-2.0787318148472513,2021,3,15,002475
1422,-0.9650763856049628,-0.9787347486550938,-0.9200065048357392,-0.9208689689999662,0.0831016565255781,0.16683661114446105,2021,3,16,002475
1423,-0.9444331047517955,-1.0658201483898233,-0.9343146018297045,-1.0606516787439273,0.19065593887808036,0.12236990963967467,2021,3,17,002475
1424,-0.9456474153902178,-0.9339825293469685,-1.0094321110480189,-0.9604534531752472,-0.2727764836113779,-0.02691115969782246,2021,3,18,002475
1425,-1.2783685303177332,-1.0053441763518167,-1.1036270829249535,-1.2078564792707531,1.8118785772797688,-2.2724795856895343,2021,3,19,002475
1426,-1.3439413047925,-1.247248064503843,-1.336133659076881,-1.5529837006739837,3.0120578338838677,-0.49698771846270706,2021,3,22,002475
1427,-1.4593008154425506,-1.305304997660329,-1.3385183419092082,-1.395882779103338,1.2674641069013677,-0.8717784882887637,2021,3,23,002475
1428,-1.6960913899347614,-1.4879424332151097,-1.5579091624833348,-1.6074123664149955,1.6590882291143023,-1.8214601847124157,2021,3,24,002475
1429,-1.6365901686521032,-1.7250082436040957,-1.6783356455158713,-1.6655520775474393,0.507941071817962,0.4622225568548277,2021,3,25,002475
1430,-1.39008510905252,-1.58349446903516,-1.4505984350285992,-1.5418505644996863,1.1839513700158955,1.9423284783712886,2021,3,26,002475
1431,-1.5321594537478465,-1.353685775290735,-1.4434443865316167,-1.4540224902357817,0.5076247356933958,-1.0814072239541852,2021,3,29,002475
1432,-1.5127304835331012,-1.5193899386748728,-1.5436010654893704,-1.50474011058536,0.0644378251761733,0.13189848853355746,2021,3,30,002475
1433,-1.522444968640474,-1.4988281081819503,-1.579371307974282,-1.5208213072815682,-0.666931294820842,-0.09361121195500204,2021,3,31,002475
1434,-1.370656138837775,-1.4758472388075081,-1.436290338034634,-1.4169120363214562,0.2561375166632803,1.1546326231436441,2021,4,1,002475
1435,-1.2917259473403715,-1.353685775290735,-1.3194408792505887,-1.3055806745784777,0.190023266628948,0.5702131176521661,2021,4,2,002475
1436,-1.3694418281993528,-1.2666003755560047,-1.3289796105798986,-1.277129326577495,-0.46131281385282275,-0.5859211214722798,2021,4,6,002475
1437,-1.4435147771430705,-1.337962022560853,-1.4386750208669619,-1.3934087488423825,-0.6855951261702469,-0.5700401566491419,2021,4,7,002475
1438,-1.4945158239567768,-1.4153712667695015,-1.4863686775135108,-1.4045418850166806,-1.0136356873453787,-0.4048781224885067,2021,4,8,002475
1439,-1.568588772900494,-1.4806853165705485,-1.5543321382348434,-1.4923699592805855,-0.884570548522376,-0.5859211214722798,2021,4,9,002475
1440,-1.6523762069515842,-1.5363232108455147,-1.6032181362975568,-1.5801980335444892,-1.0471673165493942,-0.671678331517225,2021,4,12,002475
1441,-1.4860156494878256,-1.6355038049878456,-1.4863686775135108,-1.555457730934939,0.6692724953467154,1.3102660784103963,2021,4,13,002475
1442,-1.4835870282109829,-1.4589139666368662,-1.5376393584085513,-1.445363384322439,-0.8352221130900515,0.0016745769838259251,2021,4,14,002475
